,Team,Module,Chosen Method,Reason,Decision Process
43,Team 3,3,Design Heuristics,"The main factors that contributed to our decision in choosing design heuristics are fun and fluidity of the ideation process. We want the ideation process to be fun for all the members so that we do not get discouraged by sudden writer'sâ block in coming up with so many ideas. We also want the ideation process to be mostly a team effort and keep everyone in the team engaged in the idea generation, evaluation, and combination. One of the main problems we encountered individually when we were coming up with our own concepts was that we seemed to be fixated on a few features of the solutions and cannot seem to create more new ideas. After we started using the cards, we realized that design heuristics is good for both team communication, spirit, and individual writerâs blocks in the ideation process.","As a team, we first were experimenting with different methods when we were first asked to start ideating in class. After the guest speakerâs lectures and detailed explanations of different ideation methods, we thought that design heuristics would be a fun team activity and helpful in developing various ideas that we came up with. A little bit into the ideation stage, Rose went up and took some design heuristics cards and shared it with the team. Our team all started to pull the cards and experiment with it. Later on in the decision making process, Imani proposed that this should be one of our three ideating methods, and the team unanimously agreed that it is a fun process and help generate interesting and unique ideas. "
44,Team 3,3,Weighted Matrix,"Overall, they reason why weighted matrix was chosen when selecting methods was its accuracy. Given a lot of option we concluded. We are supposed to quantitative analyse all opinions and rank them to have specific sequence. By using weighted matrix, weighted scores are summed, giving a total score for each designed method. This is our teamâs decision-making process.","Our team chose weighted matrix as one of us ideation method due to the decision make in comparing different supplies. Weighted matrices can be used to evaluate and prioritize alternative design options during concept evaluation.We have already come up with several design opinions but the thing is we also have diverse tendency towards each opinions. Each design option is numerically scored for each criterion and this score is multiplied by the criterionâs weight by using this method.Therefore, we believe weighted matrix will provide us with accurate, scored opinion."
45,Team 3,3,Brainstorming," In terms of structure, our team decided to take a âround robin approach in which we all took turns coming up with an idea and then gave feedback. After, we each took 10-15 min to sketch down the ideas that we had brainstormed while incorporating the feedback we received from round one. We then conducted another round of feedback with all of our completed ideas. From there we each used dot voting to select what our team believed to be the most viable of the ideas and did yet another round of brainstorming as to what these concepts would look like fleshed out, thus combining design-the-box in our brainstorming portion. By having multiple rounds of this brainstorming/feedback loop, we believe that we narrowed down our ideation process to produce both quantity and quality which made the clustering process easier, thus hopefully leading to a smooth creation process. ","Our team opted to using brainstorming as one of our ideation methods due to the difficult time constraints and freedom offered by the process. We were all familiar with collective brainstorming as a process, and as a result of the completion of the 10 individual ideas, we were in a  good position to have a productive ideation/brainstorming session. We arrived at the consensus through discussion and then a vote, which was unanimously in favor of utilizing the brainstorming process. 
"
46,Team 3,3,Design Heuristics,"The main factors that contributed to our decision in choosing design heuristics are fun and fluidity of the ideation process. We want the ideation process to be fun for all the members so that we do not get discouraged by sudden writer'sâ block in coming up with so many ideas. We also want the ideation process to be mostly a team effort and keep everyone in the team engaged in the idea generation, evaluation, and combination. One of the main problems we encountered individually when we were coming up with our own concepts was that we seemed to be fixated on a few features of the solutions and cannot seem to create more new ideas. After we started using the cards, we realized that design heuristics is good for both team communication, spirit, and individual writerâs blocks in the ideation process.","As a team, we first were experimenting with different methods when we were first asked to start ideating in class. After the guest speakerâs lectures and detailed explanations of different ideation methods, we thought that design heuristics would be a fun team activity and helpful in developing various ideas that we came up with. A little bit into the ideation stage, Rose went up and took some design heuristics cards and shared it with the team. Our team all started to pull the cards and experiment with it. Later on in the decision making process, Imani proposed that this should be one of our three ideating methods, and the team unanimously agreed that it is a fun process and help generate interesting and unique ideas. "
47,Team 3,3,Weighted Matrix,"Overall, they reason why weighted matrix was chosen when selecting methods was its accuracy. Given a lot of option we concluded. We are supposed to quantitative analyse all opinions and rank them to have specific sequence. By using weighted matrix, weighted scores are summed, giving a total score for each designed method. This is our teamâs decision-making process."," Our team chose weighted matrix as one of us ideation method due to the decision make in comparing different supplies. Weighted matrices can be used to evaluate and prioritize alternative design options during concept evaluation.We have already come up with several design opinions but the thing is we also have diverse tendency towards each opinions. Each design option is numerically scored for each criterion and this score is multiplied by the criterionâs weight by using this method.Therefore, we believe weighted matrix will provide us with accurate, scored opinion."
48,Team 3,3,Brainstorming," In terms of structure, our team decided to take a âround robin approach in which we all took turns coming up with an idea and then gave feedback. After, we each took 10-15 min to sketch down the ideas that we had brainstormed while incorporating the feedback we received from round one. We then conducted another round of feedback with all of our completed ideas. From there we each used dot voting to select what our team believed to be the most viable of the ideas and did yet another round of brainstorming as to what these concepts would look like fleshed out, thus combining design-the-box in our brainstorming portion. By having multiple rounds of this brainstorming/feedback loop, we believe that we narrowed down our ideation process to produce both quantity and quality which made the clustering process easier, thus hopefully leading to a smooth creation process. ","Our team opted to using brainstorming as one of our ideation methods due to the difficult time constraints and freedom offered by the process. We were all familiar with collective brainstorming as a process, and as a result of the completion of the 10 individual ideas, we were in a  good position to have a productive ideation/brainstorming session. We arrived at the consensus through discussion and then a vote, which was unanimously in favor of utilizing the brainstorming process. "
49,Team 3,3,Design Heuristics,"The main factors that contributed to our decision in choosing design heuristics are fun and fluidity of the ideation process. We want the ideation process to be fun for all the members so that we do not get discouraged by sudden writer'sâ block in coming up with so many ideas. We also want the ideation process to be mostly a team effort and keep everyone in the team engaged in the idea generation, evaluation, and combination. One of the main problems we encountered individually when we were coming up with our own concepts was that we seemed to be fixated on a few features of the solutions and cannot seem to create more new ideas. After we started using the cards, we realized that design heuristics is good for both team communication, spirit, and individual writerâs blocks in the ideation process.","As a team, we first were experimenting with different methods when we were first asked to start ideating in class. After the guest speakerâs lectures and detailed explanations of different ideation methods, we thought that design heuristics would be a fun team activity and helpful in developing various ideas that we came up with. A little bit into the ideation stage, Rose went up and took some design heuristics cards and shared it with the team. Our team all started to pull the cards and experiment with it. Later on in the decision making process, Imani proposed that this should be one of our three ideating methods, and the team unanimously agreed that it is a fun process and help generate interesting and unique ideas. "
50,Team 3,3,Weighted Matrix,"Overall, they reason why weighted matrix was chosen when selecting methods was its accuracy. Given a lot of option we concluded. We are supposed to quantitative analyse all opinions and rank them to have specific sequence. By using weighted matrix, weighted scores are summed, giving a total score for each designed method. This is our teamâs decision-making process.","Our team chose weighted matrix as one of us ideation method due to the decision make in comparing different supplies. Weighted matrices can be used to evaluate and prioritize alternative design options during concept evaluation.We have already come up with several design opinions but the thing is we also have diverse tendency towards each opinions. Each design option is numerically scored for each criterion and this score is multiplied by the criterionâs weight by using this method.Therefore, we believe weighted matrix will provide us with accurate, scored opinion."
51,Team 4,3,Borda Count Voting,"As we needed to narrow down the many options we had initially come up with, we decided to use borda vote counting as one of the methods of selection. The high degree of specificity with which the system ranked, we felt was extremely valuable whereas dot voting left us with many ties. As such we used dot voting to do an initial round of selection then borda vote counting for our final round.","While we were in class working on the process of reducing our selections, Borda vote counting was an immediate choice as we needed a way to quickly find our top 3 concepts."
52,Team 4,3,Brainstorming,"We specifically chose brainstorming as a collaborative method over other methods like brainwriting as our group preferred a vocal method of sharing ideas whereas brainwriting was very silent. The nature of brainstorming being more of a collaborative, group activity allows everyone to contribute more equally and build off of each otherâs ideas to create more sophisticated solutions.","After finishing the initial in class exercise of individual ideation, we needed a method to combine our ideas and create new ones, and thus brainstorming was a natural solution."
53,Team 4,3,The Anti-Problem,"The anti-problem interesting method utilized across the group largely for its ability to provide solutions from a perspective. It is easy to get locked into creating that only address one aspect of the issue. However, anti-problem allowed us to analyze our initial issues from strange new viewpoints that may not have seemed intuitive but actually provided very relevant solutions.
","The anti-problem was a common ideation method used throughout our group during the individual ideation exercise. While it is not the only method we used, we chose to include this in our final 3 methods as it produced some of the most interesting results."
54,Team 1,4,Prototyping,"Prototyping allows us to make our ideas tangible by creating physical representations through a multitude of techniques such as laser cutting and tangible prototyping. Â It can reduce the risk of costly development, making sure whether the product work as expected. Having physical representations and models allows us to better understand our designs since our team and the users can physically interact with it.","Since our design team is in the build stage and deciding the best way of working on a physical product that will incorporate mobile sensing, we felt that prototyping would be the most applicable to our project. "
55,Team 1,4,Tangible Prototype,"Tangible prototype is great because the method allows us to quickly test functions and features of our design ideas. Another useful property of this method is that it does not require any special or technical skills, which means that everyone in the group can contribute equally.
Â Â Â  This method can help a lot when developing our product. With more prototypes, we gather more information, which gives us great insight to improve our product. From this procedure, we find it really useful to figure out our shortcoming through building different prototypes, so we will continue building prototype if the conditions are permitted.","Our team agreed that using tangible prototyping to create a physical model of our design concept with the critical features, would be very useful in determining how we should proceed forward. And we can easily find materials like cardboard and scrap in the classroom for this method. "
56,Team 1,4,Rapid Prototyping,"Our team had yet to decide which our three concepts we were going to move forward with, thus we felt that using rapid prototyping, with other teams acting as our customer insight, would help us decide which concept would be most beneficial to our target customers and which features they felt would be most important. Information gathered from the first round would then be used to chose a design concept to move forward with and improve based on suggestions. We also considered the limitations we had with time and resources. Since we only had less than a week to build our product, we decided that rapid prototype is a great way for us to get through multiple iterations and improve our product.","Several group members suggested using this method due to its benefit of achieving multiple rounds of iteration. We quickly reached group consensus and began creating our first prototype. Since we are limited on time, this method can save a great amount of time for us."
57,Team 2,4,Wireframe,"Efficiency and visualization may be the main factors that we consider very important. By using this method, we can efficiently present our ideas directly and clearly. We wonât come across the problems that we canât express ourselves clearly or we canât find out how the programming works. Our aim is to show the users how does our product work and how to use it. Wireframe can help tackle the challenge by creating visual design layouts and can be added to the brainstorming process where we can develop our design by receiving more feedbacks.","A wireframe is a user interface like a screen or web page. It can visually depict the layout of an app. In our product, we create a Medicine Box which is connected to the app to remind people to take the medicine on time. There may be different screens to show which medicine you need to take and screens in various colors to inform you. So by using this method, itâs the quickest and easiest way to present our ideas as well as adding some more screens to it. Instead of spend much time on the programming, wireframe can also achieve our goals and test the functionality and show our product to the users directly and clearly."
58,Team 2,4,Experience Prototype,"The first factor our group considered is the feedback from users. In order to get the feedback, we can interview our users, which we had completed. In this step, is time to build our product, the best way to get feedback and improve our product is let the old patients to experience the product themselves.","Using this method, provides us a chance to show and test our design via active user participation, we can easily get feedback and make major design changes and decisions in the early stages of product development. Through this method, we can easily and quickly get the feedback of our product, and ensures this product is focus on user-centered. To be more specific, in our project, we want to design a medicine box that remind old patients to take medicine on time. Once we have made our product, we are eager to get feedback from old patients and other groups, only in this way, can we improve the role of products."
59,Team 2,4,Fused Deposition Models,"Since our team is doing a medical project in a short time, the time efficiency seems especially important. By using FDM 3D printing, the prototype can be produced quickly and with high quality. Thus we will have more time to improve our prototype and add more function to it.","Our team chose this building method because we thought it is the quickest and easiest way to build prototype. 3D printing models are delicate and low-cost, so we can express our ideas better. "
60,Team 3,4,Wireframe,"We chose wireframe as our build method mainly because the character like visualized, effective and sketch-like. Our design is based on Berkeley map to develop all other concept. The design solution requires both time counting system and the information from users. Wireframe provide us with a more elaborated function. ","Wireframes visually depict the rudimentary layout of an app or website.  This method can be really suitable for our product. At the very begining, we decided to use wireframes to present and improve our app."
61,Team 3,4,Prototyping,"The main factors that contributed to our decision in choosing prototyping are tangible, visualized, fun and good operability. Cause build process is a qualitative leap. Our product are not in draft anymore. First of all, we want this process is easy to operate, prototypes are low resolution artifacts and can be anything that a user can interact with. We just use some simple material like clay, cardboards,papers to finish our product. Second, our product is a simple applicant with three main concept. We want to make it tangible to present all this features accurately. Third, we want all team members could get involved and have fun. In this build process, we confront some problems like surface designing and convergence between pages. But with team communication and improvement, we fix all these. This method can help us improve our product.","In ideate step, we brainstormed many ideas and refined to 3 main concepts. From then on, our group want to build a tangible product to present our ideas. When we saw the varied material that Mr. Kim offered to us, the prototyping could be a really fun activity and helpful in showing our applicant. Imani took some clay and cardboard, she made an impressive 3 dimension map. And other team member use some other simple material to build an artificial mobile phone."
62,Team 3,4,Service Prototype,"The factors that contributed to our decision was that our app required peope to interactive with existing businesses and processes so it was a a great opportunity to see if your idea was useful in these circumstances one being the meeting and scheduling of an advising appointment. Finding a good place to eat that is also a short wait and last was finding a good place to network with people you like.
",Allowing users to go through the service allowed us to understand what problems might arries from the service and errors created even from our solutions. 
63,Team 3,4,Prototyping,"The main factors that contributed to our decision in choosing prototyping are tangible, visualized, fun and good operability. Cause build process is a qualitative leap. Our product are not in draft anymore. First of all, we want this process is easy to operate, prototypes are low resolution artifacts and can be anything that a user can interact with. We just use some simple material like clay, cardboards,papers to finish our product. Second, our product is a simple applicant with three main concept. We want to make it tangible to present all this features accurately. Third, we want all team members could get involved and have fun. In this build process, we confront some problems like surface designing and convergence between pages. But with team communication and improvement, we fix all these. This method can help us improve our product.
","In ideate step, we brainstormed many ideas and refined to 3 main concepts. From then on, our group want to build a tangible product to present our ideas. When we saw the varied material that Mr. Kim offered to us, the prototyping could be a really fun activity and helpful in showing our applicant. Imani took some clay and cardboard, she made an impressive 3 dimension map. And other team member use some other simple material to build an artificial mobile phone.
"
64,Team 3,4,Service Prototype,The factors that contributed to our decision was that our app required people to interactive with existing businesses and processes so it was a a great opportunity to see if your idea was useful in these circumstances one being the meeting and scheduling of an advising appointment. Finding a good place to eat that is also a short wait and last was finding a good place to network with people you like.,"Allowing users to go through the service allowed us to understand what problems might arries from the service and errors created even from our solutions. 
"
65,Team 3,4,Wireframe,We considered the amount of features in our app and  it was the most appropriate to show the variety of functions within a single unit.,Wire framing was best because we had an app. It was a very simple way to organize our idea and show in a progressive fashion how our product works.
66,Team 4,4,Wireframe,"Our design solution requires  both  a smart street light/waypoint system along with a way to access them as well as relay the information collected back to the user, so wireframe offered the ideal method to quickly come up with the screens the app should offer and how the app would function. It provides a great starting point to continue building off of for higher fidelity prototypes.
","Wireframe is the build method given that most directly addresses application building, so we knew it would be a crucial method for our project.
"
67,Team 4,4,Tangible Prototype,"The vision for our design solution is very grounded in a physical product complimented by a digital interface. So in order to represent that well, we feel that there is definitely a need for some physical model of the waypoints that relates to the app we create. We want to ensure that the app is not the primary focus as the solution actually aims to reduce phone usage while walking.
","While building a full scale street lamp seems a bit of a tall order, we definitely want to create something tangible that combines the app and perhaps a scale model of the waypoints.
"
68,Team 4,4,Rapid Prototyping,"Given the length of the class, some of the more uncommon rapid fabrication techniques may not be ideal or familiar. We left it a bit more open at rapid prototyping, but 3D printing or laser cutting may be likely choices. These methods would allow us to easily create model waypoints from 3D models and thus allow us to quickly create medium fidelity prototypes as well as possibly iterate on those prototypes.
","This method goes hand in hand with our necessity of a physical complement to our application portion. Weâve largely focused on the app prior, so rapid prototyping would be a good way to quickly create higher fidelity physical prototypes.
"
69,Team 5,4,Wireframe,"We needed a way to visualize the mobile design of our product. This method allows us to prioritize content and categorize/structure our productâs services into menu items. We will be able to get a better understanding of how we want our application to work. This method is also desirable because it is a low-fidelity means of prototyping and we only have a short amount of time to implement it.
","We agreed on this method the quickest because our product relies on a mobile interface to communicate information.
"
70,Team 5,4,Prototyping,"We needed a way to validate and demonstrate the mobile design of product. Prototyping provide an effective and simple way to transform our abstract ideas into concrete example in order to help anchor a discussion about the design, which is very important to our product.This method is also a bridge helping us to communicate and convince a client of the feasibility of a project.
 
","Undoubtedly, we need this method to make ours abstract ideas real.
As a result, we all agree this method!
"
71,Team 5,4,Experience Prototype,"The App that weâre designing has various features and functions. As a result, with experiential prototyping, we may be able to test out different versions of the prototype. For example, we could omit several features in one version while keeping the omitted features in the other versions, in an attempt to find out the consumer preference of the features.
","The development of the product is currently one thatâs low-fidelity, i.e. the consumers may not stick to or even begin using the product without proper instruction or assistance. My team and I would provide the necessary help to the consumers when they try out the prototype for the first time. 

"
72,Team 1,5,Design Roadmap,"   After the second peer review, we received some feedback from potential users and professors that throwing out the trash is just a gain but not a necessary need for undergraduates students. Using roadmapping, we were able to identify other limitations and issues with our product such as the need for a sorting feature and the lack of awareness for environmental and waste management of our users. Roadmapping can help us think step by step, recognizing our original thought and then expand to future development.",      Our team has some confusion and uncertainty of our product and Roadmapping is useful when we need to consolidate results and extract insights. So we choose this method to help us clarify our targeted function and potential users. Roadmapping also really helps with planning ahead for future applications and improvements we can make on our product. 
73,Team 1,5,Storyboards,"	When choosing the storyboarding method, our team took into consideration the benefits of having a visual in communicating our ideas and process. Since storyboard involves creating a roadmap of our ideas and implementation process, itâs very useful for planning out our presentation. As indicated on the DesignExchange website, Storyboard is used as a tool to help you visualize and organize your ideas into coherent presentation. Itâs essential for us to tell a story through our presentation as it is more engaging for the audience and effective to get our message across. We also considered the method because it allows for everyone in the team to contribute to the process.  ","	Through group discussion, our team agreed that using a visual method like storyboarding  is great for outlining out our presentation to help us create a roadmap of our ideas. Itâs great for using in the initial process of planning out a presentation"
74,Team 1,5,7 Ps Framework," Since we have been through our design process for five weeks, 7-Ps Framework can work as a checklist for us to organize our concepts and procedure before our final review. We can check what we lose and what else we can add on our project to make sure that we make everything perfect in the end. And since we are still not pretty sure about our targeted customers and marketing strategy, this method can help us have more concrete decision.", The team agreed that this method would clearly show our product and design process in presentation. We also felt that the 7-Ps Framework would be the perfect method to let us gain a clearer understanding of our main goal in limited time.
75,Team 2,5,Personas,"With module design, the medicine storage can be extended, and thus John has to refill it less. Using smart notification, the medicine box will play loud music and emit light to tell John itâs time to take medicine. Using phone apps, doctors and his children can clearly see whether he is on track. If not, the doctor will visit him and see if anything is wrong.  When itâs empty, John can press the Botton on it and later the doctor will come to refill it. The box also has location system. When itâs lost, the location can be seen on apps.
	With the box, John will never forget to take medicines and can easily receive help from doctors. His health condition can be ensured, so thus we achieved better treatment.","Our team made up a character to better improve our products. His name is John and is 65 years old. He lives in a nursing home but his children are working abroad, so thus he canât get daily care by his children. He has heart disease and has to take medicine every-day. He has got one medicine box now but its function is inefficient. It doesnât have notification functions and can only store medicines for five days. Also refilling it can be difficult, because John has to take it to the doctor. John then hope to have one medicine box with multi-functions. He want it notify him to take pills when he has to, because he always forgets to take after having fun poker games with his old friends. "
76,Team 2,5,Design Roadmap,"The factor we consider is easy to express how we think. By using this method, you can draw or even put photos together like a collage. When we are doing our project, the most imortant thing is to express your ideas really quick and exact. Also, it will be really great to track what you've done up till now to walk through your team's thinking progress at the end of the design. This also will help you finding out what's wrong with your design.",We wanted something that can track our process and help us firgure out what we have achieved so far. Design Roadmap is kind of method that can help us achiece this. It's kind of like a map journey we can use sketches and drawings  to show our thinkings.
77,Team 2,5,7 Ps Framework,"When we are choosing methods, we think that this method is really comprehensive and it includes all the information that we need to know and talk about. This method is like a guideline for us to develop our design.","It has a lot to do with purpose, product, people, process, pitfalls, prep, and practical. All of these Ps are really important when you are doing a design. You need to find out your users and their needs to achieve your goal. Also you need to get preparations and finally test it. All these contributes to a great design. So we decide on this method that can help us attain all these goals."
78,Team 3,5,Composite Characters,"Our team elected to use a composite character as we felt it was the most natural progression from that of the persona which helped to inform a significant portion of the design process.Considering how a product has evolved to suit the needs of many users, a composite character would allow us to synthesize many of the existing characteristics of our multiple personas in order to better provide context to the presentation.  A composite character would relay a clear understanding of the consumer that we are designing for and help to place our productâs features in a convenient juxtaposition with our product thus helping to tell the story of where features originated from and why they are relevant. In this way, the composite character can serve as a centralized guide from which the presentation is based, and via our constant relation to the character, our team can endeavor to create a clear link between the product and the consumer. As such, a composite character would be an excellent organizational tool, hence why our team has elected to select it.
","Our group firstly consider the university of our product, we hope our product could be widely applicable among international students in Berkeley. Michael figured out that composite character could help us consider multiple personas. Then we decide to use composite character to extend the character of our persona âMIngâ. "
79,Team 3,5,Storyboards,"The two primary reasons that our team decided to select the Storyboards was because of its explicitness and its explanatory power in presenting our product. We want the communication process could build connection with the model we built in build process. In last class, we use Adobe Illustrator build our main function for our product. But the picture could not directly present the user experience and feeling in practical application. We think storyboard which gives a holistic view of all user-touch points could present the true feeling of users to verify our functions. Furthermore, this method is extremely fun, could  inspire the  group involvement. The process of making storyboards is an interactive activity, we were all worried about the poor âHugoâ when he does not have the Visual Berkeley.His feeling becomes actual and touchable, 
","At very beginning, our team opted to using storyboards as one of  our communication methods just due to the talent of Imani. She is really good at drawing. Storyboards is a good way to show her capacity and get everyone involved in group communication. Everyone could have fun in this process. Second, storyboard could cooperate with our model built last class to present the core function of our product.
"
80,Team 3,5,Design Roadmap,"Danielle told us that the primary benefit of the design roadmapping method is that it promotes an active communication across participants to build their unique and structured plans for the future in phases from near to long. And design roadmpping is a map allow us to notice what the international students who is new in Berkeley really need. What's more, This new approach creates roadmaps driven by innovations from the perspective of future customers, instead of solely by technology projections.  This method of communication will provoke us to a headed discussion.  And in this way we can see our expectations for the next year.","Our team decided to use Design road mapping as our communication method. Make this decision is tough. After gust lecture, Danielle talked a lot of methods for communicationï¼specially introduced design road mapping method. Michael like this method. He said he familiar with project management and gold setting and he can do this well. Howeverï¼Hogo don't like this method. He said this method is very hard to operation compared with other method. But our team loves challengeï¼the more difficult problems areï¼the more interesting we are. And this method really suitable to our subject. So we choice this method."
81,Team 4,5,Personas,"We believe that personas are important in that they demonstrate our understanding of our customer base. Furthermore, once the initial basis is there, it allows us to clearly demonstrate how we may attend to the customer/userâs needs","Since we had used personas in our role play assignment, it was a logical extension to continue using it as a form of communication
"
82,Team 4,5,Storyboards,"As mentioned above, we valued the visual aspect of storyboarding - it offers a useful way of communicating within the team as well as customer without the miscommunication potential with words. Storyboarding also allows the display of detail that again is not possible with words.
",We wanted to ensure we included at least 1 visual communication method as they tend to be more engaging and efficient.
83,Team 4,5,Usability Report,"As mentioned previously, this method directly addresses user feedback. I think this is particularly valuable for our group as a lot of our design choices were based around the information we learned from our interviews. As such, the usability report seemed like a perfect method to convey what we learned from the interview and how we addressed it. 
","Our team found this method interesting in how it expressed direct user feedback and thus wanted to incorporate this into our project. 
"
84,Team 5,5,Envisionment Videos,We have members in our group that have experience in communicating through videos so this method was a good fit for us. Creating a video will allow us to gain insight into our customer's experience by envisioning what the usage of our product will look like. ,A few of us chose this method in our individual method surveys and we all agreed to it.
85,Team 5,5,Service Blueprint,"This method makes sense to use because our product is both tangible and digital, offering different features which address a multitude of pain points. It would allow us to better organize our features and center our business around understanding our customer's experiences.",Someone suggested this method and others agreed in a team chat.
86,Team 5,5,Design Roadmap,Our group has members which are apt at storytelling through visual charts and diagrams and this method would help us gain further insights from our user research. This method also makes sense to use at this stage in our design process given our lack of time because it focuses on augmenting our current features and designs rather than re-designing.,We had a team discussion and readily agreed to this method.
87,Team 6,5,Design Roadmap,"We believed that this is a great method to showcase our process of analyzing the observed data and quotes and converting them into actionable design decisions. It allowed us to sort our design journey into three threads, each corresponding to a unique customer/user segment, and it clearly showed how we responded to the unique challenges and contexts of each user group.
",We quickly agreed on using a design roadmap as we had just started this in class. We asked ourselves which methods we wanted to use and we all agreed upon using this method. 
88,Team 6,5,Storyboards,"We believed that this would be a great method to illustrate different scenarios that our product would be involved in and how it would work. We also thought we could put a twist on it by creating an interactive storyboard so the audience could experience the situation in a more first person context in order to induce more empathy. This would allow us to be more convincing since it forces users to be put onto the spot and experience the scenario themselves. This method would clearly communicate the problems that we are trying to solve and how important it is. 
","As a group, we discussed which all methods we had available to us and which methods we had chosen for our individual surveys and then came to a consensus on using a storyboard after light discussion.
"
89,Team 6,5,Composite Characters,"We believe that composite characters would help the audience understand what we are trying to achieve by empathizing with the user. We quickly realized that this method could also be used very well with a storyboard in order to make a very effective combination of the two. Since we talked to a lot of potential users with similar traits and backgrounds, we find it easier to composite a character than to focus on one specific character which is required in building personas. 
","As a group, we discussed which all methods we had available to us and came to a consensus on using composite characters after light discussion after realizing this was different enough from the other methods in order to not be redundant. 
"
